stöð,ár,mán,t,tx,txx,txxD1,tn,tnn,tnnD1,rh,r,rx,rxD1,p,n,sun,f
1,1949,1,-2.7,0.5,6.6,9,-6.8,-15.2,12,81.0,68.8,9.6,25,996.7,6.0,18.1,8.5
1,1949,2,0.0,2.5,7.8,6,-2.5,-7.5,27,87.0,80.0,8.3,16,989.0,6.7,25.1,9.2
1,1949,3,0.1,2.8,7.4,4,-2.9,-14.3,14,86.0,58.7,8.4,5,1010.4,5.9,106.6,5.9
1,1949,4,-0.0,3.1,6.6,2,-2.9,-8.9,21,77.0,51.8,17.8,18,1000.2,5.8,134.7,7.4
1,1949,5,3.6,7.2,13.0,22,0.3,-5.0,5,70.0,27.9,5.5,12,1014.8,5.1,243.2,6.9
1,1949,6,9.8,13.0,20.4,22,6.7,1.6,7,76.0,44.2,13.2,30,1015.3,5.7,187.3,5.9
1,1949,7,10.5,13.2,17.1,28,8.7,6.0,4,86.0,66.0,12.6,6,1013.5,7.2,83.1,4.1
1,1949,8,10.1,13.3,16.5,18,7.3,2.0,9,80.0,96.0,25.1,29,1008.4,6.1,160.8,4.7
1,1949,9,9.0,11.1,15.7,2,7.2,1.8,9,87.0,97.9,18.6,29,1009.4,6.9,59.6,5.7
1,1949,10,4.5,7.5,14.2,11,2.0,-9.3,25,81.0,35.9,15.7,2,1002.1,4.9,81.3,4.4
1,1949,11,2.5,5.0,9.4,2,-0.3,-7.0,13,81.0,72.0,15.0,1,996.2,5.3,40.0,5.7
1,1949,12,-1.3,0.9,6.3,31,-4.6,-15.3,9,84.0,54.2,14.2,23,996.0,5.7,10.0,6.3
1,1950,1,2.8,5.2,9.6,19,0.4,-4.3,24,84.0,128.3,13.3,22,996.0,6.5,10.5,8.6
1,1950,2,-0.7,2.4,6.1,3,-3.4,-13.6,23,80.0,30.6,4.9,27,992.4,5.6,47.4,6.6
1,1950,3,1.3,4.5,8.3,22,-1.2,-9.2,15,80.0,59.1,13.7,25,1005.6,5.0,151.0,6.5
1,1950,4,2.2,5.3,8.3,7,-0.5,-4.9,27,73.0,10.0,3.2,5,1003.3,5.2,172.7,6.3
1,1950,5,7.1,9.8,11.6,30,4.4,-0.3,19,76.0,61.2,17.5,1,1018.7,5.7,200.7,6.1
1,1950,6,9.3,12.4,18.3,22,6.8,3.8,25,75.0,42.0,9.5,4,1008.2,5.4,219.2,5.8
1,1950,7,12.4,15.6,23.2,17,9.5,7.2,22,76.0,52.3,9.1,3,1006.2,6.6,126.1,4.8
1,1950,8,12.1,15.3,19.6,21,9.6,6.1,27,78.0,55.6,8.3,8,1002.3,6.2,123.0,5.0
1,1950,9,7.2,10.7,13.0,13,4.0,-0.2,19,74.0,37.3,10.9,27,997.4,4.8,153.4,5.6
1,1950,10,4.5,6.9,10.1,13,2.2,-3.4,11,79.0,91.0,15.7,30,998.7,5.8,84.4,7.1
1,1950,11,0.7,3.0,9.9,6,-1.6,-10.5,30,77.0,57.9,22.9,7,1002.5,4.5,67.7,6.6
1,1950,12,-1.4,1.3,6.3,17,-3.9,-11.6,3,80.0,46.8,11.3,17,1009.0,5.7,7.2,6.7
1,1951,1,-1.5,1.3,6.2,23,-4.3,-10.7,28,76.0,61.1,14.4,24,994.6,4.5,24.9,7.6
1,1951,2,-0.9,1.5,6.7,28,-3.8,-9.0,4,80.0,49.8,9.0,12,996.3,5.4,65.9,7.4
1,1951,3,-3.0,0.1,6.5,1,-6.1,-10.9,10,73.0,25.5,7.2,1,1013.4,4.3,163.5,8.1
1,1951,4,-0.0,3.1,13.0,30,-2.5,-12.0,14,76.0,21.7,7.6,21,1012.6,5.6,145.7,6.8
1,1951,5,6.9,9.6,14.4,20,4.7,-1.4,7,81.0,23.4,4.4,17,1019.6,6.8,102.2,5.5
1,1951,6,9.8,12.6,16.1,19,6.8,3.2,13,75.0,39.4,15.4,10,1015.1,5.1,232.9,5.1
1,1951,7,10.6,13.0,16.5,27,8.3,5.3,22,76.0,43.6,12.2,1,1009.0,6.0,195.9,5.5
1,1951,8,11.4,15.2,17.6,16,7.8,3.2,12,76.0,17.8,10.5,23,1004.4,5.0,199.3,4.9
1,1951,9,9.7,12.8,15.9,1,7.2,3.0,6,80.0,47.9,8.0,22,1002.4,5.9,98.1,6.3
1,1951,10,5.7,8.0,12.8,1,3.5,-3.6,21,83.0,123.5,9.9,8,998.8,6.3,46.5,9.4
1,1951,11,0.8,3.4,8.3,8,-1.7,-9.2,24,77.0,25.1,7.4,27,1003.4,5.0,52.5,5.2
1,1951,12,-0.8,2.1,8.2,17,-3.2,-12.9,10,80.0,81.5,18.1,11,984.7,5.9,5.6,8.8
1,1952,1,-2.9,0.1,6.9,5,-5.8,-11.6,3,78.0,118.5,30.4,31,996.6,5.4,20.6,9.9
1,1952,2,-0.3,2.2,6.4,24,-2.5,-8.9,3,84.0,87.4,17.7,19,1009.4,6.2,32.1,6.2
1,1952,3,1.0,3.7,7.2,17,-1.3,-9.4,2,79.0,25.9,8.9,19,1009.1,5.5,94.5,7.5
1,1952,4,3.4,6.5,11.8,29,0.7,-6.3,13,82.0,33.7,4.3,17,1001.0,5.6,160.3,9.4
1,1952,5,6.2,9.2,14.6,11,3.7,-1.6,4,74.0,46.7,13.0,24,1017.2,5.9,182.7,8.5
1,1952,6,8.4,11.7,16.0,16,5.2,-0.7,3,71.0,15.6,5.8,10,1010.4,4.5,286.6,5.6
1,1952,7,10.1,12.7,15.1,27,7.9,4.6,11,79.0,67.0,25.1,21,1011.1,6.5,163.1,6.3
1,1952,8,10.1,12.9,16.3,3,7.3,3.6,30,78.0,33.1,15.4,22,1010.6,5.4,209.2,4.5
1,1952,9,7.7,10.4,14.3,9,5.2,-2.3,27,81.0,29.2,18.3,22,1015.5,5.6,124.8,5.5
1,1952,10,5.7,8.1,11.8,18,3.2,-1.6,31,81.0,84.4,21.5,13,1001.3,5.7,63.4,8.3
1,1952,11,2.6,4.8,8.8,13,0.5,-7.3,23,85.0,60.0,13.9,8,1012.9,6.0,26.9,5.3
1,1952,12,1.3,3.6,10.3,7,-0.8,-8.2,14,80.0,26.6,16.7,9,1007.0,5.1,12.9,6.0
1,1953,1,0.6,3.2,7.7,3,-2.1,-11.2,31,84.0,108.9,17.1,26,1002.7,6.5,10.7,7.7
1,1953,2,1.9,4.3,8.3,15,-0.5,-8.0,1,86.0,173.6,40.3,13,1004.0,6.4,37.9,7.0
1,1953,3,2.7,5.5,9.4,21,0.2,-8.5,26,85.0,150.2,18.8,19,1006.8,6.5,76.2,10.1
1,1953,4,0.1,2.9,7.6,21,-2.4,-11.2,2,81.0,51.7,17.2,19,1015.2,5.4,183.8,9.3
1,1953,5,6.8,9.7,13.0,26,4.0,-3.9,1,76.0,36.3,16.3,29,1016.1,6.1,146.4,4.7
1,1953,6,10.2,13.0,15.6,26,7.6,2.7,1,80.0,28.6,3.7,12,1010.5,6.4,146.7,5.1
1,1953,7,11.9,14.8,19.1,21,9.4,6.7,8,77.0,39.6,9.8,1,1007.8,6.0,186.9,3.4
1,1953,8,11.5,14.4,16.9,24,8.8,3.8,19,82.0,50.7,21.9,15,1004.2,5.9,163.6,4.5
1,1953,9,9.7,12.2,14.2,5,7.5,3.5,17,84.0,80.5,30.9,13,1002.3,6.6,68.1,5.0
1,1953,10,4.2,6.6,12.2,6,2.3,-3.6,10,82.0,101.1,11.0,20,996.1,5.8,57.6,7.6
1,1953,11,2.0,4.4,10.5,21,-0.4,-5.0,12,85.0,86.9,11.3,16,989.7,6.1,16.0,7.2
1,1953,12,2.5,5.3,10.2,16,-0.2,-10.4,3,83.0,171.7,19.3,11,993.1,6.5,8.2,8.9
1,1954,1,2.0,4.3,8.9,3,-0.5,-6.3,5,83.0,103.6,17.7,24,1004.4,6.2,10.0,7.6
1,1954,2,0.1,2.8,7.5,3,-2.2,-13.0,8,78.0,82.6,19.8,15,996.9,5.8,44.8,9.7
1,1954,3,1.6,3.9,9.3,30,-0.6,-8.3,23,79.0,50.0,10.5,20,1000.5,5.6,95.3,8.1
1,1954,4,4.4,7.1,11.3,23,1.9,-3.8,5,80.0,79.0,13.2,9,1011.8,6.4,89.4,7.5
1,1954,5,7.5,10.6,14.9,26,4.6,-3.3,2,73.0,31.3,10.7,16,1017.0,5.8,181.3,6.5
1,1954,6,10.2,13.5,20.7,6,7.5,4.9,12,77.0,16.4,8.1,29,1010.3,5.4,203.0,6.7
1,1954,7,10.5,13.7,16.7,8,8.0,4.5,1,82.0,64.5,30.6,7,1005.1,6.1,153.0,6.7
1,1954,8,11.0,13.8,15.8,7,8.5,2.7,28,82.0,49.3,20.3,26,1009.1,6.3,110.1,5.3
1,1954,9,6.1,9.9,16.5,7,3.2,-2.1,28,75.0,15.3,5.6,26,1003.0,4.6,186.2,7.2
1,1954,10,3.7,6.2,11.5,7,1.5,-5.0,16,79.0,68.5,17.6,9,996.7,5.3,81.5,6.2
1,1954,11,2.7,5.0,8.3,17,0.1,-7.0,13,84.0,147.2,26.2,8,989.5,6.1,17.9,8.7
1,1954,12,-0.8,1.4,6.3,1,-3.2,-12.3,10,84.0,60.9,18.0,12,993.3,5.9,8.4,6.9
